"data_001","ID da resposta"
"data_159","B6) Fonte de Orçamento: [TED]"
"data_160","B6) Fonte de Orçamento: [Patrocínio]"
"data_161","B6) Fonte de Orçamento: [Não Precisa De Orçamento]"
"data_162","B6) Fonte de Orçamento: [A Definir]"
"data_163","B6) Fonte de Orçamento: [Outros]"
"data_164","B7) É um novo serviço?"
"data_165","B8) A partir de que mês o serviço estará disponível?"
"data_166","C1) Indique qual(is) produto(s) ou serviço(s) serão impactados pelo aperfeiçoamento:"
"data_167","C2) Nome do aperfeiçoamento:"
"data_168","C3) Descrição do Aperfeiçoamento:"
"data_169","C4) Instituições Envolvidas:"
"data_170","C5) Será necessária a aquisição ou contratação de algum serviço?"
"data_171","C5.1) Como será feita essa aquisição/contratação? [Orçamento da Enap]"
"data_172","C5.1) Como será feita essa aquisição/contratação? [TED]"
"data_173","C5.1) Como será feita essa aquisição/contratação? [Patrocínio]"
"data_174","C5.1) Como será feita essa aquisição/contratação? [A definir]"
"data_175","C5.1) Como será feita essa aquisição/contratação? [Outros]"
"data_176","C6) Mês da Entrega:"
"data_177","2) Unidade líder"
"data_178","3) Unidades Parceiras [Diretoria de Educação Continuada]"
"data_179","3) Unidades Parceiras [-> Coordenação-Geral de Educação Executiva]"
"data_180","3) Unidades Parceiras [-> Coordenação-Geral de Educação a Distância]"
"data_181","3) Unidades Parceiras [Diretoria de Formação Profissional e Especialização]"
"data_182","3) Unidades Parceiras [-> Coordenação-Geral de Formação]"
"data_183","3) Unidades Parceiras [-> Coordenação-Geral de Especialização]"
"data_184","3) Unidades Parceiras [-> Coordenação-Geral de Capacitação de Altos Executivos]"
"data_185","3) Unidades Parceiras [Diretoria de Inovação e Gestão do Conhecimento]"
"data_186","3) Unidades Parceiras [-> Coordenação-Geral de Gestão do Conhecimento]"
"data_187","3) Unidades Parceiras [-> Coordenação-Geral de Inovação]"
"data_188","3) Unidades Parceiras [-> Coordenação-Geral de Articulação Institucional]"
"data_189","3) Unidades Parceiras [Diretoria de Pesquisa e Pós]"
"data_190","3) Unidades Parceiras [-> Coordenação-Geral de Pós Graduação Stricto Sensu]"
"data_191","3) Unidades Parceiras [-> Coordenação-Geral de Pesquisa]"
"data_192","3) Unidades Parceiras [-> Coordenação-Geral de Ciência de Dados]"
"data_193","3) Unidades Parceiras [Diretoria de Gestão Interna]"
"data_194","3) Unidades Parceiras [-> Coordenação-Geral de Gestão de Pessoas e Adm]"
"data_195","3) Unidades Parceiras [-> Coordenação-Geral de Orçamento, Finanças e Contabilidade]"
"data_196","3) Unidades Parceiras [-> Coordenação-Geral de Tecnologia da Informação]"
"data_197","3) Unidades Parceiras [Gabinete]"
"data_198","3) Unidades Parceiras [-> Assessoria de Comunicação]"
"data_199","3) Unidades Parceiras [-> Assessoria Internacional]"
"data_200","3) Unidades Parceiras [-> Auditoria Interna]"
"data_201","3) Unidades Parceiras [-> Procuradoria Federal]"
"data_202","3) Unidades Parceiras [Comitê de Inclusão]"
"data_203","3) Unidades Parceiras [Comitê de Gênero]"
"data_204","3) Unidades Parceiras [Comissão De Ética]"
"data_205","3) Unidades Parceiras [Comissão Gestora do Plano de Gestão de Logística Sustentável]"
"data_206","4) Deseja adicionar observações sobre esta entrega?"
